id	num.apples
1	27
2	17
3	22
4	23
5	22
6	19
7	28
8	20
9	30
10	20
11	27
12	31
13	13
14	19
15	19
16	23
17	19
18	7
19	8
20	27
21	18
22	11
23	19
24	26
25	29
26	18
27	19
28	11
29	22
30	17
31	22
32	24
33	25
34	17
35	23
36	11
37	16
38	16
39	8
40	20
41	21
42	18
43	24
44	16
45	13
46	22
47	16
48	27
49	18
50	23
51	22
52	16
53	28
54	23
55	20
56	21
57	23
58	20
59	5
60	21
61	18
62	21
63	23
64	27
65	16
66	27
67	22
68	25
69	25
70	24
71	15
72	20
73	23
74	15
75	17
76	23
77	24
78	22
79	16
80	15
81	28
82	21
83	20
84	19
85	14
86	23
87	19
88	19
89	25
90	24
91	27
92	18
93	23
94	27
95	14
96	16
97	14
98	13
99	20
100	23
101	26
102	25
103	15
104	29
105	17
106	21
107	18
108	19
109	21
110	21
111	20
112	21
113	18
114	17
115	12
116	18
117	17
118	34
119	13
120	21
121	13
122	13
123	21
124	15
125	20
126	18
127	17
128	10
129	14
130	21
131	23
132	18
133	20
134	26
135	27
136	15
137	19
138	26
139	18
140	20
141	20
142	16
143	18
144	20
145	18
146	26
147	18
148	18
149	23
150	15
151	20
152	12
153	26
154	19
155	18
156	14
157	20
158	16
159	17
160	26
161	19
162	15
163	21
164	18
165	23
166	27
167	15
168	22
169	20
170	24
171	19
172	24
173	11
174	28
175	24
176	19
177	13
178	23
179	22
180	20
181	21
182	17
183	22
184	21
185	19
186	13
187	24
188	23
189	16
190	12
191	21
192	18
193	21
194	14
195	15
196	25
197	22
198	23
199	29
200	21
201	10
202	22
203	26
204	30
205	13
206	14
207	16
208	15
209	17
210	19
211	14
212	30
213	21
214	20
215	22
216	20
217	19
218	27
219	19
220	14
221	22
222	18
223	17
224	15
225	22
226	19
227	23
228	19
229	17
230	26
231	19
232	25
233	14
234	18
235	19
236	18
237	27
238	20
239	21
240	15
241	16
242	25
243	26
244	26
245	13
246	30
247	25
248	20
249	24
250	15
251	15
252	20
253	14
254	21
255	26
256	15
257	16
258	20
259	15
260	18
261	24
262	25
263	22
264	11
265	20
266	25
267	24
268	19
269	7
270	20
271	23
272	20
273	21
274	22
275	18
276	27
277	22
278	14
279	27
280	26
281	24
282	12
283	17
284	23
285	20
286	22
287	32
288	16
289	9
290	21
291	17
292	22
293	16
294	31
295	19
296	18
297	19
298	24
299	20
300	12
301	20
302	24
303	20
304	24
305	19
306	20
307	22
308	25
309	14
310	20
311	20
312	16
313	15
314	17
315	23
316	18
317	16
318	21
319	14
320	25
321	18
322	21
323	20
324	20
325	29
326	16
327	26
328	20
329	16
330	20
331	24
332	18
333	16
334	21
335	25
336	20
337	13
338	13
339	16
340	17
341	20
342	23
343	18
344	14
345	23
346	21
347	26
348	12
349	20
350	27
351	24
352	16
353	24
354	16
355	18
356	26
357	19
358	24
359	19
360	12
361	16
362	15
363	18
364	18
365	19
366	19
367	29
368	13
369	18
370	22
371	28
372	20
373	26
374	12
375	27
376	17
377	19
378	14
379	21
380	29
381	32
382	15
383	22
384	27
385	19
386	19
387	18
388	23
389	27
390	23
391	22
392	18
393	22
394	17
395	19
396	25
397	22
398	21
399	19
400	25
401	27
402	16
403	20
404	20
405	17
406	15
407	20
408	23
409	27
410	10
411	16
412	18
413	12
414	16
415	16
416	16
417	9
418	21
419	17
420	28
421	24
422	13
423	20
424	17
425	24
426	20
427	17
428	22
429	21
430	19
431	30
432	17
433	18
434	12
435	20
436	24
437	10
438	19
439	14
440	27
441	27
442	22
443	27
444	16
445	25
446	17
447	22
448	19
449	19
450	23
451	13
452	19
453	21
454	18
455	21
456	18
457	28
458	24
459	35
460	16
461	24
462	30
463	22
464	15
465	15
466	20
467	27
468	24
469	9
470	16
471	20
472	13
473	23
474	8
475	21
476	18
477	18
478	19
479	22
480	22
481	19
482	10
483	13
484	13
485	24
486	19
487	21
488	12
489	17
490	23
491	19
492	19
493	20
494	26
495	17
496	23
497	24
498	14
499	21
500	20
501	25
502	25
503	20
504	21
505	16
506	19
507	15
508	15
509	14
510	24
511	26
512	18
513	14
514	20
515	31
516	30
517	11
518	18
519	28
520	20
521	28
522	18
523	23
524	21
525	36
526	25
527	14
528	17
529	22
530	10
531	11
532	14
533	18
534	26
535	19
536	21
537	20
538	16
539	27
540	15
541	19
542	18
543	23
544	28
545	23
546	27
547	24
548	17
549	20
550	27
551	12
552	22
553	19
554	24
555	24
556	22
557	27
558	12
559	25
560	12
561	23
562	20
563	25
564	20
565	12
566	10
567	23
568	20
569	17
570	18
571	17
572	19
573	15
574	10
575	19
576	25
577	29
578	20
579	20
580	25
581	20
582	18
583	11
584	14
585	22
586	13
587	25
588	13
589	19
590	20
591	20
592	21
593	23
594	19
595	19
596	21
597	18
598	28
599	9
600	25
601	19
602	22
603	25
604	24
605	17
606	28
607	12
608	24
609	17
610	10
611	11
612	21
613	31
614	21
615	26
616	24
617	17
618	25
619	22
620	21
621	25
622	24
623	17
624	22
625	16
626	23
627	18
628	22
629	22
630	19
631	22
632	23
633	19
634	26
635	27
636	17
637	16
638	23
639	15
640	18
641	24
642	17
643	10
644	23
645	12
646	13
647	5
648	24
649	21
650	22
651	24
652	20
653	14
654	23
655	27
656	12
657	17
658	19
659	14
660	23
661	17
662	26
663	20
664	24
665	28
666	21
667	25
668	21
669	12
670	20
671	24
672	22
673	19
674	14
675	23
676	15
677	14
678	23
679	14
680	21
681	20
682	13
683	26
684	17
685	26
686	18
687	17
688	20
689	18
690	18
691	16
692	14
693	23
694	16
695	13
696	17
697	16
698	9
699	19
700	21
701	21
702	22
703	15
704	18
705	15
706	17
707	14
708	14
709	23
710	19
711	19
712	29
713	20
714	17
715	24
716	18
717	27
718	18
719	17
720	14
721	22
722	27
723	18
724	21
725	22
726	27
727	23
728	15
729	17
730	16
